,api_call_full,slices,metric,run_type,run_time_sec,slice-seconds,cpu_pct_mean,cpu_pct_p90,gpu_pct_mean,gpu_pct_p90,cpu_usage_mean,cpu_usage_p90,mem_process,mem_container_limit,mem_container_used,mem_container_avail,mem_system_total,mem_system_used,mem_system_avail,,
146,exportRaster (ortho-dsm-ptcloud)_cpu,7,mean,xl,69.3,485.3,7.7,13.7,NA,NA,2.4,4.3,1.8,122.8,48.3,74.5,122.8,3.8,119.0,,
147,exportRaster (ortho-dsm-ptcloud)_gpu,7,max,xl,94.0,658.0,8.0,15.0,NA,NA,2.5,4.7,2.0,122.8,60.5,73.7,122.8,3.9,119.5,,
148,exportRaster (ortho-dsm-ptcloud)_gpu,7,mean,xl,69.3,485.3,8.0,14.7,NA,NA,2.4,4.5,1.7,122.8,55.0,67.9,122.8,3.6,119.2,,
149,exportReport_1x1g,1,max,mig,31.0,31.0,85.0,100.0,NA,NA,3.4,8.5,0.4,122.8,1.7,121.3,122.8,4.0,120.5,,
150,exportReport_1x1g,1,mean,mig,24.7,24.7,55.7,69.7,NA,NA,2.2,4.4,0.3,122.8,1.6,121.2,122.8,3.4,119.5,,
151,exportReport_1x2g,2,max,mig,20.0,40.0,78.0,99.0,NA,NA,5.6,24.6,0.4,122.8,1.7,121.3,122.8,3.4,120.5,,
152,exportReport_1x2g,2,mean,mig,16.7,33.3,34.0,62.3,NA,NA,3.0,10.6,0.3,122.8,1.6,121.2,122.8,2.7,120.1,,
153,exportReport_1x3g,3,max,mig,21.0,63.0,18.0,85.0,NA,NA,5.5,26.7,0.4,122.8,1.7,121.3,122.8,2.6,120.4,,
154,exportReport_1x3g,3,mean,mig,16.3,49.0,13.3,43.3,NA,NA,3.0,10.5,0.3,122.8,1.6,121.2,122.8,2.6,120.3,,
155,exportReport_2x1g,2,max,mig,26.0,52.0,90.0,100.0,NA,NA,3.8,5.9,0.4,122.8,1.7,121.3,122.8,5.8,119.1,,
156,exportReport_2x1g,2,mean,mig,17.3,34.7,75.7,99.7,NA,NA,2.3,3.6,0.3,122.8,1.6,121.2,122.8,4.9,117.9,,
157,exportReport_3x1g,3,max,mig,25.0,75.0,79.0,100.0,NA,NA,3.7,10.1,0.4,122.8,1.7,121.3,122.8,4.8,120.5,,
158,exportReport_3x1g,3,mean,mig,18.0,54.0,30.3,38.3,NA,NA,2.4,4.9,0.3,122.8,1.6,121.2,122.8,3.1,119.7,,
159,exportReport_cpu,7,max,large,22.0,3.1,20.0,79.0,NA,NA,3.0,12.6,0.5,58.9,2.0,57.0,58.9,2.0,56.9,,
160,exportReport_cpu,7,max,xl,22.0,154.0,12.0,21.0,NA,NA,3.6,6.6,0.5,122.8,2.0,121.0,122.8,2.6,120.3,,
161,exportReport_cpu,3.5,mean,large,20.3,71.2,17.3,47.3,NA,NA,2.6,7.4,0.5,58.9,1.9,56.9,58.9,2.0,56.9,,
162,exportReport_cpu,7,mean,xl,19.0,133.0,10.0,14.3,NA,NA,3.0,4.4,0.5,122.8,1.9,120.9,122.8,2.6,120.3,,
163,exportReport_gpu,7,max,xl,21.0,147.0,11.0,26.0,NA,NA,3.4,8.1,0.5,122.8,2.0,121.0,122.8,2.5,120.3,,
164,exportReport_gpu,7,mean,xl,19.0,133.0,9.3,23.3,NA,NA,2.9,7.4,0.5,122.8,1.9,120.9,122.8,2.5,120.3,,
165,matchPhotos_1x1g,1,max,mig,1864.0,1864.0,36.0,83.0,NA,NA,3.0,10.1,5.2,115.1,37.8,105.5,115.1,8.9,106.7,,
166,matchPhotos_1x1g,1,mean,mig,1795.0,1795.0,32.3,79.7,NA,NA,2.7,7.8,3.7,115.1,20.4,94.7,115.1,8.6,106.5,,
167,matchPhotos_1x2g,2,max,mig,1523.0,3046.0,24.0,47.0,NA,NA,3.2,11.0,5.1,115.1,40.6,78.7,115.1,13.4,109.4,,
168,matchPhotos_1x2g,2,mean,mig,1370.3,2740.7,17.3,39.0,NA,NA,2.9,8.8,3.7,115.1,38.8,76.4,115.1,10.0,105.1,,
169,matchPhotos_1x3g,3,max,mig,1327.0,3981.0,22.0,71.0,NA,NA,3.7,14.1,5.2,115.1,44.6,76.1,115.1,8.0,108.7,,1.368575624
170,matchPhotos_1x3g,3,mean,mig,1282.7,3848.0,17.7,55.7,NA,NA,3.3,11.3,3.7,115.1,41.5,73.7,115.1,7.0,108.1,,1.512640449
171,matchPhotos_2x1g,2,max,mig,1323.0,2646.0,38.0,85.0,NA,NA,4.6,15.4,5.2,115.1,44.5,105.5,115.1,8.9,109.0,,0.971365639
172,matchPhotos_2x1g,2,mean,mig,1170.7,2341.3,27.3,64.7,NA,NA,4.1,12.6,3.8,115.1,31.1,84.0,115.1,7.9,107.3,,4.627669452
173,matchPhotos_3x1g,3,max,mig,1078.0,3234.0,38.0,85.0,NA,NA,5.9,19.7,5.4,115.1,40.3,76.3,115.1,20.2,107.3,,
174,matchPhotos_3x1g,3,mean,mig,1048.3,3145.0,35.0,77.3,NA,NA,5.2,15.9,3.9,115.1,39.4,75.7,115.1,12.2,103.0,,
175,matchPhotos_cpu,7,max,large,3276.0,468.0,60.0,82.0,NA,NA,9.5,13.0,5.3,58.9,43.9,19.8,58.9,6.6,54.7,,
176,matchPhotos_cpu,7,max,xl,2319.0,16233.0,47.0,60.0,NA,NA,15.0,19.2,5.2,122.8,44.7,83.6,122.8,7.2,118.1,,
177,matchPhotos_cpu,3.5,mean,large,2849.7,9973.8,58.3,80.3,NA,NA,9.2,12.7,3.8,58.9,41.3,17.5,58.9,5.1,53.7,,
178,matchPhotos_cpu,7,mean,xl,1994.0,13958.0,45.7,58.7,NA,NA,14.5,18.7,3.8,122.8,41.6,81.2,122.8,5.7,117.1,,
179,matchPhotos_gpu,7,max,xl,1362.0,9534.0,10.0,30.0,16.0,72.0,2.9,9.6,5.1,115.1,44.6,76.0,115.1,8.0,109.6,,
180,matchPhotos_gpu,7,mean,xl,1186.7,8306.7,9.3,28.7,11.7,38.0,2.8,9.1,3.7,115.1,41.5,73.7,115.1,6.5,108.7,,0.986516854
181,optimizeCameras_1x1g,1,max,mig,93.0,93.0,46.0,100.0,NA,NA,14.7,31.9,4.8,122.8,5.8,118.1,122.8,6.7,116.8,,
182,optimizeCameras_1x1g,1,mean,mig,88.7,88.7,43.3,96.7,NA,NA,13.9,30.8,4.5,122.8,5.2,117.6,122.8,6.4,116.4,,
183,optimizeCameras_1x2g,2,max,mig,107.0,214.0,48.0,100.0,NA,NA,15.2,31.9,4.6,122.8,5.7,118.5,122.8,6.5,116.8,,
184,optimizeCameras_1x2g,2,mean,mig,97.0,194.0,47.0,97.3,NA,NA,14.7,30.6,4.4,122.8,5.0,117.8,122.8,6.3,116.5,,3.547835991
185,optimizeCameras_1x3g,3,max,mig,102.0,306.0,46.0,100.0,NA,NA,14.7,31.9,4.7,122.8,5.7,117.6,122.8,6.6,116.6,,
186,optimizeCameras_1x3g,3,mean,mig,93.3,280.0,44.0,96.0,NA,NA,14.0,30.6,4.5,122.8,5.5,117.4,122.8,6.4,116.4,,
187,optimizeCameras_2x1g,2,max,mig,98.0,196.0,48.0,100.0,NA,NA,15.2,31.9,4.7,122.8,5.8,117.5,122.8,6.6,116.5,,
188,optimizeCameras_2x1g,2,mean,mig,94.0,188.0,44.7,96.7,NA,NA,14.2,30.9,4.5,122.8,5.5,117.3,122.8,6.4,116.4,,
189,optimizeCameras_3x1g,3,max,mig,107.0,321.0,47.0,100.0,NA,NA,15.0,31.9,4.7,122.8,5.6,118.1,122.8,6.6,116.4,,
190,optimizeCameras_3x1g,3,mean,mig,97.0,291.0,44.7,97.0,NA,NA,14.2,31.0,4.6,122.8,5.2,117.6,122.8,6.5,116.3,,
191,optimizeCameras_cpu,7,max,large,118.0,16.9,60.0,100.0,NA,NA,9.5,16.0,4.2,58.9,5.2,54.1,58.9,5.5,53.8,,
192,optimizeCameras_cpu,7,max,xl,88.0,616.0,46.0,100.0,NA,NA,14.7,31.9,4.8,122.8,5.8,117.7,122.8,6.8,116.8,,
193,optimizeCameras_cpu,3.5,mean,large,114.7,401.3,58.0,100.0,NA,NA,9.2,15.9,4.0,58.9,5.0,53.9,58.9,5.3,53.5,,
194,optimizeCameras_cpu,7,mean,xl,82.3,576.3,44.0,94.7,NA,NA,14.0,30.3,4.6,122.8,5.5,117.3,122.8,6.5,116.3,,3
195,optimizeCameras_gpu,7,max,xl,89.0,623.0,47.0,100.0,NA,NA,14.9,31.9,4.5,122.8,5.6,117.7,122.8,6.5,116.8,,
196,optimizeCameras_gpu,7,mean,xl,85.0,595.0,45.7,97.7,NA,NA,14.5,31.2,4.4,122.8,5.4,117.5,122.8,6.3,116.5,,0.652181987
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5.55645311,,,,,,,,,,,2.8,,,
,,,,3.594428969,,,4.259894647,3.651338269,,,,,,,,,,1.85,,,
,,,,,,,,,,,,,,,,,,2.15,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,0.629898234,,,,,,,,,,,,,,,,
,,,,,0.410808282,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.571428571,,,,,
,,,,,TOT,,,,,,,,9.142857143,,,,,,,,
,,,,,61653.0,,,,,,,,,,,,,,,,
,,,,,GPU,,,,,,,,,,,,,,,,
,,,,,9085.0,,,,,,,,31.42857143,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,gpu pct,,,,,,,,,,,,,,,,
,,,,,0.147356982,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,"Only about 15% of the compute time will use any GPU, and even those GPU tasks will use about 1/3 of a GPU, so overall GPU usage went from 100% to 5%",,,,,,,,,,,,,,,,
,,,,,0.285714286,,,,,,,,,,,,,,,,
