,api_call_full,slices,metric,run_type,run_time_sec,slice-seconds,cpu_pct_mean,cpu_pct_p90,gpu_pct_mean,gpu_pct_p90,cpu_usage_mean,cpu_usage_p90,mem_process,mem_container_limit,mem_container_used,mem_container_avail,mem_system_total,mem_system_used,mem_system_avail,,
37,buildDem (DSM-mesh)_gpu,7,max,xl,88.0,616.0,16.0,46.0,NA,NA,5.1,14.6,1.0,122.8,3.2,120.7,122.8,3.0,120.0,,
38,buildDem (DSM-mesh)_gpu,7,mean,xl,72.7,508.7,15.3,39.7,NA,NA,4.8,12.6,1.0,122.8,2.7,120.1,122.8,2.9,120.0,,
39,buildDem (DSM-ptcloud)_cpu,7,max,large,82.0,11.7,36.0,93.0,NA,NA,5.7,14.9,0.5,58.9,1.8,57.4,58.9,2.1,56.9,,
40,buildDem (DSM-ptcloud)_cpu,7,max,xl,72.0,504.0,21.0,45.0,NA,NA,6.7,14.3,0.5,122.8,1.8,121.5,122.8,2.6,120.3,,
41,buildDem (DSM-ptcloud)_cpu,3.5,mean,large,70.7,247.3,32.7,84.7,NA,NA,5.2,13.5,0.5,58.9,1.6,57.2,58.9,2.0,56.9,,
42,buildDem (DSM-ptcloud)_cpu,7,mean,xl,61.7,431.7,19.7,42.3,NA,NA,6.1,13.4,0.5,122.8,1.6,121.2,122.8,2.6,120.3,,
43,buildDem (DSM-ptcloud)_gpu,7,max,xl,73.0,511.0,21.0,48.0,NA,NA,6.7,15.3,0.5,122.8,1.8,121.4,122.8,2.5,120.4,,
44,buildDem (DSM-ptcloud)_gpu,7,mean,xl,61.7,431.7,20.0,47.3,NA,NA,6.2,14.7,0.5,122.8,1.6,121.2,122.8,2.5,120.3,,3.748088448
45,buildDem (DTM-ptcloud)_cpu,7,max,large,69.0,9.9,30.0,82.0,NA,NA,4.8,13.0,0.6,58.9,2.2,57.4,58.9,2.0,56.9,,
46,buildDem (DTM-ptcloud)_cpu,7,max,xl,62.0,434.0,18.0,48.0,NA,NA,5.5,15.1,0.6,122.8,2.2,121.3,122.8,2.6,120.3,0.55868472,
47,buildDem (DTM-ptcloud)_cpu,3.5,mean,large,58.3,204.2,28.7,77.0,NA,NA,4.5,12.2,0.5,58.9,1.9,57.0,58.9,1.9,56.9,,
48,buildDem (DTM-ptcloud)_cpu,7,mean,xl,50.3,352.3,17.3,45.0,NA,NA,5.4,14.2,0.6,122.8,1.9,120.9,122.8,2.5,120.3,,
49,buildDem (DTM-ptcloud)_gpu,7,max,xl,62.0,434.0,18.0,53.0,NA,NA,5.7,17.0,0.7,122.8,2.2,121.3,122.8,2.6,120.4,,
50,buildDem (DTM-ptcloud)_gpu,7,mean,xl,50.0,350.0,17.7,47.3,NA,NA,5.5,15.1,0.6,122.8,1.9,120.9,122.8,2.5,120.3,,
