"","api_call_full","metric","run_type","run_time_sec","cpu_pct_mean","cpu_pct_p90","gpu_pct_mean","gpu_pct_p90","cpu_usage_mean","cpu_usage_p90","mem_process","mem_container_limit","mem_container_used","mem_container_avail","mem_system_total","mem_system_used","mem_system_avail"
"37","buildOrthomosaic (dsm-ptcloud)_cpu","mean","large",4119.57142857143,35.8571428571429,83,NA,NA,5.64285714285714,13.1428571428571,10.3428571428571,58.9,35.2714285714286,23.6,58.9,11.7714285714286,47.1142857142857
"38","buildOrthomosaic (dsm-ptcloud)_cpu","mean","xl",5434.8,25.8,57.6,NA,NA,8.15,18.25,15.44,122.8,63.14,59.7,122.8,17.49,105.37
"39","buildPointCloud_cpu","max","large",5583,82,100,NA,NA,13,15.9,26.7,58.9,50.7,55.4,58.9,28.2,54.7
"40","buildPointCloud_cpu","max","xl",10949,72,89,NA,NA,23,28.4,41.1,122.8,116.5,119,122.8,43.2,117.9
"41","buildPointCloud_cpu","mean","large",2944.85714285714,73.2857142857143,96.2857142857143,NA,NA,11.6428571428571,15.2714285714286,14.5428571428571,58.9,32.3285714285714,26.5428571428571,58.9,15.9714285714286,42.8857142857143
"42","buildPointCloud_cpu","mean","xl",3030.5,61.1,80.1,NA,NA,19.41,25.59,18.85,122.8,47.92,74.89,122.8,20.88,101.97
"43","classifyGroundPoints_cpu","max","large",43243,99,100,NA,NA,15.8,16,8,58.9,37.7,56.8,58.9,9.4,56.4
"44","classifyGroundPoints_cpu","max","xl",21912,97,100,NA,NA,30.9,32,17.1,122.8,92.9,120,122.8,19.3,119.7
"45","classifyGroundPoints_cpu","mean","large",7308.85714285714,80,96.7142857142857,NA,NA,12.7285714285714,15.4714285714286,4.58571428571429,58.9,23.7,35.1714285714286,58.9,6,52.8857142857143
"46","classifyGroundPoints_cpu","mean","xl",3058.2,66.6,95.5,NA,NA,21.28,30.55,6.69,122.8,36.35,86.47,122.8,8.69,114.13
"47","exportCameras_cpu","max","large",0,31,31,NA,NA,4.9,4.9,1,58.9,2,58.6,58.9,2.3,57.1
"48","exportCameras_cpu","max","xl",1,28,28,NA,NA,9,9,2,122.8,3.8,122.5,122.8,4.1,120.6
"49","exportCameras_cpu","mean","large",0,15,15,NA,NA,2.34285714285714,2.34285714285714,0.757142857142857,58.9,1.35714285714286,57.4714285714286,58.9,2.12857142857143,56.7285714285714
"50","exportCameras_cpu","mean","xl",0.1,11.6,11.7,NA,NA,3.63,3.66,1.15,122.8,1.86,120.96,122.8,3.09,119.75
"51","exportModel_cpu","max","large",24,11,17,NA,NA,1.7,2.6,6.1,58.9,29.5,56.2,58.9,7.5,55.5
"52","exportModel_cpu","max","xl",37,8,15,NA,NA,2.7,4.8,10.7,122.8,106.2,119.4,122.8,12.8,118.1
"53","exportModel_cpu","mean","large",12.5714285714286,8.28571428571429,8.85714285714286,NA,NA,1.21428571428571,1.27142857142857,4.38571428571429,58.9,13.7571428571429,45.0857142857143,58.9,5.77142857142857,53.0714285714286
"54","exportModel_cpu","mean","xl",17,4.9,6,NA,NA,1.54,1.74,7.72,122.8,25.34,97.51,122.8,9.7,113.12
"55","exportModel_gpu","max","xl",38,11,17,0,0,3.4,5.5,10.9,115.1,96.6,111.8,115.1,13.8,109.7
"56","exportModel_gpu","mean","xl",17.1,5.4,7.1,0,0,1.63,1.96,7.82,115.1,26.38,88.76,115.1,10.63,104.55
"57","exportRaster (DSM-mesh)_cpu","max","large",9,14,22,NA,NA,2.1,3.4,0.8,58.9,3.4,58.3,58.9,2.2,57.2
"58","exportRaster (DSM-mesh)_cpu","max","xl",23,11,18,NA,NA,3.4,5.8,1.4,122.8,7.5,122.4,122.8,3.5,120.6
"59","exportRaster (DSM-mesh)_cpu","mean","large",4.14285714285714,11.8571428571429,16.7142857142857,NA,NA,1.81428571428571,2.57142857142857,0.557142857142857,58.9,2.1,56.7857142857143,58.9,1.92857142857143,56.9142857142857
"60","exportRaster (DSM-mesh)_cpu","mean","xl",6.4,8.9,13.1,NA,NA,2.8,4.18,0.72,122.8,2.9,119.93,122.8,2.69,120.16
"61","exportRaster (DSM-ptcloud)_cpu","max","large",7,16,24,NA,NA,2.4,3.8,0.6,58.9,2.2,58.5,58.9,2,57.3
"62","exportRaster (DSM-ptcloud)_cpu","max","xl",18,11,17,NA,NA,3.4,5.4,1,122.8,4.8,122.5,122.8,3.1,120.6
"63","exportRaster (DSM-ptcloud)_cpu","mean","large",3.85714285714286,11.5714285714286,16.2857142857143,NA,NA,1.75714285714286,2.52857142857143,0.471428571428571,58.9,1.37142857142857,57.4714285714286,58.9,1.85714285714286,57.0285714285714
"64","exportRaster (DSM-ptcloud)_cpu","mean","xl",6.5,8.5,12.5,NA,NA,2.61,3.97,0.59,122.8,1.9,120.94,122.8,2.57,120.28
"65","exportRaster (DTM-ptcloud)_cpu","max","large",6,16,24,NA,NA,2.4,3.7,0.6,58.9,2.6,58.4,58.9,2,57.2
"66","exportRaster (DTM-ptcloud)_cpu","max","xl",18,15,17,NA,NA,4.9,5.6,1,122.8,5.9,122.4,122.8,3.1,120.6
"67","exportRaster (DTM-ptcloud)_cpu","mean","large",3.71428571428571,12.5714285714286,16.8571428571429,NA,NA,1.92857142857143,2.62857142857143,0.485714285714286,58.9,1.64285714285714,57.2142857142857,58.9,1.85714285714286,57
"68","exportRaster (DTM-ptcloud)_cpu","mean","xl",6.1,9.5,13.1,NA,NA,2.98,4.12,0.59,122.8,2.35,120.46,122.8,2.55,120.29
"69","exportRaster (ortho-dsm-mesh)_cpu","max","large",128,14,27,NA,NA,2.1,4.2,2.2,58.9,46.1,55.6,58.9,3.7,56.3
"70","exportRaster (ortho-dsm-mesh)_cpu","max","xl",344,8,17,NA,NA,2.5,5.4,3.3,122.8,103.3,119.9,122.8,5.6,119.6
"71","exportRaster (ortho-dsm-mesh)_cpu","mean","large",59.1428571428571,13.2857142857143,22.5714285714286,NA,NA,2,3.47142857142857,1.64285714285714,58.9,28.6,30.2428571428571,58.9,3.07142857142857,55.7714285714286
